field,year,count
Natural language processing,1970,1868
Natural language processing,1971,2012
Natural language processing,1972,1985
Natural language processing,1973,2250
Natural language processing,1974,2109
Natural language processing,1975,2439
Natural language processing,1976,2331
Natural language processing,1977,2532
Natural language processing,1978,2607
Natural language processing,1979,2751
Natural language processing,1980,2830
Natural language processing,1981,2988
Natural language processing,1982,3133
Natural language processing,1983,3456
Natural language processing,1984,3721
Natural language processing,1985,3724
Natural language processing,1986,4091
Natural language processing,1987,4384
Natural language processing,1988,4995
Natural language processing,1989,5113
Natural language processing,1990,5711
Natural language processing,1991,6027
Natural language processing,1992,6284
Natural language processing,1993,6353
Natural language processing,1994,7349
Natural language processing,1995,6954
Natural language processing,1996,7485
Natural language processing,1997,8083
Natural language processing,1998,8794
Natural language processing,1999,9009
Natural language processing,2000,11361
Natural language processing,2001,11494
Natural language processing,2002,16494
Natural language processing,2003,15640
Natural language processing,2004,17633
Natural language processing,2005,19042
Natural language processing,2006,21367
Natural language processing,2007,22615
Natural language processing,2008,25054
Natural language processing,2009,27642
Natural language processing,2010,31058
Natural language processing,2011,32011
Natural language processing,2012,33877
Natural language processing,2013,35120
Natural language processing,2014,36378
Natural language processing,2015,49547
Natural language processing,2016,40088
Natural language processing,2017,40195
Natural language processing,2018,46422
Natural language processing,2019,51960
Natural language processing,2020,57115
Natural language processing,2021,56919
Natural language processing,2022,49944
Machine learning,1970,4064
Machine learning,1971,3626
Machine learning,1972,3887
Machine learning,1973,4029
Machine learning,1974,4582
Machine learning,1975,4856
Machine learning,1976,5215
Machine learning,1977,5654
Machine learning,1978,5630
Machine learning,1979,5935
Machine learning,1980,6456
Machine learning,1981,6656
Machine learning,1982,6891
Machine learning,1983,7266
Machine learning,1984,7803
Machine learning,1985,8178
Machine learning,1986,8989
Machine learning,1987,9628
Machine learning,1988,10434
Machine learning,1989,11552
Machine learning,1990,12695
Machine learning,1991,13505
Machine learning,1992,14558
Machine learning,1993,15597
Machine learning,1994,16528
Machine learning,1995,18315
Machine learning,1996,19691
Machine learning,1997,20914
Machine learning,1998,22766
Machine learning,1999,25197
Machine learning,2000,30399
Machine learning,2001,33797
Machine learning,2002,56801
Machine learning,2003,52509
Machine learning,2004,56849
Machine learning,2005,68002
Machine learning,2006,79007
Machine learning,2007,84886
Machine learning,2008,93152
Machine learning,2009,103449
Machine learning,2010,111974
Machine learning,2011,121085
Machine learning,2012,127180
Machine learning,2013,132174
Machine learning,2014,136883
Machine learning,2015,139179
Machine learning,2016,145044
Machine learning,2017,157657
Machine learning,2018,186646
Machine learning,2019,218334
Machine learning,2020,253851
Machine learning,2021,291083
Machine learning,2022,294712
Psychology,1970,79856
Psychology,1971,78221
Psychology,1972,81448
Psychology,1973,85797
Psychology,1974,88572
Psychology,1975,94013
Psychology,1976,98359
Psychology,1977,100752
Psychology,1978,107204
Psychology,1979,109844
Psychology,1980,114341
Psychology,1981,116617
Psychology,1982,119643
Psychology,1983,122125
Psychology,1984,127881
Psychology,1985,131669
Psychology,1986,137556
Psychology,1987,144987
Psychology,1988,154585
Psychology,1989,162169
Psychology,1990,171425
Psychology,1991,172803
Psychology,1992,181411
Psychology,1993,186112
Psychology,1994,193790
Psychology,1995,204560
Psychology,1996,219587
Psychology,1997,230330
Psychology,1998,239092
Psychology,1999,251732
Psychology,2000,305317
Psychology,2001,311804
Psychology,2002,358811
Psychology,2003,379353
Psychology,2004,414093
Psychology,2005,454618
Psychology,2006,513620
Psychology,2007,564319
Psychology,2008,613527
Psychology,2009,680851
Psychology,2010,755660
Psychology,2011,822431
Psychology,2012,888865
